uid,type,points_finish,points_bronze,points_silver,points_gold,points_at
FBJkiBCEVath70jb5zwoLmpr2Lh,RPG,5,6,7,8,10
ZAi85P4s1k6MVB18sgenOzSIL4f,RPG,5,6,7,8,10
jr50EG9kebMHXLv4pZfxwpHMQB,RPG,5,6,7,8,10
cNi7QtnAO7XB7_1QhrGdv0HbePi,RPG,5,6,7,8,10
uDdBWM3LA144iDCSpZgGMDE6akk,RPG,5,6,7,8,10
Y1g8p9gu1w3jtIZAZSS5E9NiwAj,RPG,5,6,7,8,10
UNAb_EG_Ul_TzYldyAtgF645a6j,RPG,5,6,7,8,10
ahzzQNi0l31BKrlHAHTL5Guav32,RPG,5,6,7,8,10
pnZBWle7Sj_iSGeWi5CMH56EHgi,RPG,5,6,7,8,10
pEvt5WhPKxYJkj6sbmzFtke9ZQ9,RPG,5,6,7,8,10
t3adt48AgZtF4GsteJu_tgz7qUj,RPG,5,6,7,8,10
inCpGz34q13TQ8nq_f8qthGAYAc,RPG,5,6,7,8,10
MHXcVyDyjRmKDDQENiPcblex7Df,RPG,5,6,7,8,10
C_GhveRFhF2brvZ1DU0fRhy14Bh,RPG,5,6,7,8,10
D1NQBH_9f13XuRBMdsGw9q7C3ul,RPG,5,6,7,8,10
aMvlLJF_5UCeXysq9Enfnmq_2l3,RPG,5,6,7,8,10
8iBMV3unY0H52UTKuGRSAfqYIff,RPG,5,6,7,8,10
3NsoqsZ0bDf7kTkpwbCjYfryxuj,RPG,5,6,7,8,10
n9RDC4IXQ08YmhrXsrMY1J_NZp0,RPG,5,6,7,8,10
tYipf993vMrIimEKtAHCawiJPd,RPG,5,6,7,8,10
vEkzvWotQElov_9srUXtnIXXUlk,RPG,5,6,7,8,10
fQpoMbaDZebnNah61jGV68Z9eig,RPG,5,6,7,8,10
KNWkz7RiyLIlTTtPRg6IPwZa1xi,RPG,5,6,7,8,10
8JF998DfmE5LbyIcKy2HXRI2Ppg,RPG,5,6,7,8,10
qFnUTJvSks53gCDV34qYdcx9A9m,RPG,5,6,7,8,10
hZSyMPuSq7EShK33wsvwcELXET0,RPG,10,15,20,25,30
ofzfUcGKjf4VylEvHR_PmvTFkNc,RPG,10,15,20,25,30
TO4smJyPJi3k54V3_zHPboe0Uh8,RPG,10,15,20,25,30
DaaEek_Z14ToDBZfN8dXJ4pw1X6,RPG,10,15,20,25,30
iGk1b0fqrIAoMf1k4SkckXP0Da8,RPG,10,15,20,25,30
h5SHSzzY6clMfVCb7fpfw4cUbc7,RPG,10,15,20,25,30
HZEZpgZ4OZaohJIZg9jQNMYaRX6,RPG,10,15,20,25,30
HcTPfAMjjv2w_GreLnPJnyqc1X2,RPG,10,15,20,25,30
eKc3DV_tMeXtuS3EXEs0nUy8FAb,RPG,10,15,20,25,30
EVszKNT7SgLtboe6OPOmBgbpwMb,RPG,10,15,20,25,30
ktTbyZaoL8Th6nj3PSdqvBUnvD1,RPG,10,15,20,25,30
c5kCwjKv2IQ3mNXYCpYCK_ZHh3f,RPG,10,15,20,25,30
zdvpihEiT609EBSapxXKMI7mS22,RPG,10,15,20,25,30
4Jx92xVYLLznuFO5QloIqE3vG56,RPG,10,15,20,25,30
1SRbaQvgisQo1pI4MEe5FtDAzgd,RPG,10,15,20,25,30
Eu4EqcNaz0ioG2N3GER1a2TJwtc,RPG,10,15,20,25,30
z9GQow9mvw_SK2LuWhEb575J0T3,RPG,10,15,20,25,30
8kt0jg56WQX7rnWySKoLlHMnC2i,RPG,10,15,20,25,30
slDOSvmYPKoC3rgZXxXR1VIPI0k,RPG,10,15,20,25,30
pdPRYwogJwT_VX_EQOtLOlDb7u2,RPG,10,15,20,25,30
HQE8MWPK824F4mI081tWrQp6Jp7,RPG,10,15,20,25,30
KeViqyRbWRrxlKKR8NsT1tBGkA7,RPG,10,15,20,25,30
xfoDnCgRTnbRKi4XvHdh8ntWWLb,RPG,10,15,20,25,30
4NlKBxUQKlZXHWneLVZeLVRS6bm,RPG,10,15,20,25,30
hlsXADglPRqlokIow2v9R5s4Zh9,RPG,10,15,20,25,30
9snPqkNqr59sNyT4D5MtkkGWFh,RPG,10,15,20,25,30
UzxgnvapH4cs06x2TOfEiURa_Td,RPG,10,15,20,25,30
xZFI8rLsXK9N8K48QtbxHCQN3S0,RPG,10,15,20,25,30
FNhWJ2XdIcXIrAvrc7zNitmHpwg,RPG,10,15,20,25,30
Sb8hMEAoIxzQzMYnojGHju7MLI2,RPG,10,15,20,25,30
Hy2HwU3aD7O_di7fJByOlmjhxe7,RPG,10,15,20,25,30
G3rItQsCU8OG2uqVq93dI7ZWWS1,RPG,10,15,20,25,30
9sMYp5QndEmdkLfy6FX_7_kS23a,RPG,10,15,20,25,30
ucZA1mSNjPz5t4ppuJOtFmVB46k,RPG,10,15,20,25,30
S5hgcwWblb43ElBIPgIvsvlnGR8,RPG,10,15,20,25,30
